LGA_Name,X,Y,Address_Town,School_Name,School_No,Year 7 Total,Year 8 Total,Year 9 Total,Year 10 Total,Year 11 Total,Year 12 Total,Secondary Total,School,Median_VCE_study_score,Percentage_of_study_scores_of_40_and_over,Percentage_of_VCE_students_applying_for_tertiary_places_through_the_Victorian_Tertiary_Admissions_Centre_(VTAC),Percentage_of_Vocational_Education_and_Training_(VET)_units_of_competency_completed,Number_of_students_awarded_the_VCE_Vocational_Major_(VM),Percentage_of_satisfactory_VCE_completions,Locality
Banyule,145.066978,-37.690178,BUNDOORA,Parade College,20,368.0,362.0,332.0,340.0,311.0,286.0,1999.0,Parade College,30,4.8,73,86,63,99,BUNDOORA
Melbourne,144.952883,-37.805971,WEST MELBOURNE,Simonds Catholic College,25,66.0,49.0,64.0,58.0,73.0,62.0,372.0,Simonds Catholic College,30,6.5,83,80,10,98,WEST MELBOURNE
Port Phillip,144.997001,-37.859365,ST KILDA EAST,St Mary’s College Melbourne,26,69.0,49.0,65.0,84.0,88.0,77.0,432.0,St Mary's College Melbourne,28,3.3,68,87,12,97,ST KILDA EAST
Ballarat,143.8234695,-37.55686069,BALLARAT,Loreto College,35,183.0,158.0,158.0,161.0,162.0,136.0,958.0,Loreto College,31,6.8,72,95,26,100,BALLARAT
Mitchell,144.947629,-37.301013,KILMORE,Assumption College,111,269.0,267.0,250.0,259.0,236.0,192.0,1473.0,Assumption College,28,2.2,57,82,24,100,KILMORE
Greater Bendigo,144.273362,-36.753444,BENDIGO,Catherine McAuley College,130,343.0,307.0,300.0,278.0,185.0,177.0,1590.0,Catherine McAuley College,28,5.3,72,85,21,98,BENDIGO
Stonnington,145.051572,-37.861753,GLEN IRIS,Sacre Coeur,149,74.0,74.0,100.0,83.0,70.0,86.0,487.0,Sacre Coeur,35,24.6,99,100,-,100,GLEN IRIS
Mitchell,145.140924,-37.019895,SEYMOUR,St Mary's College,161,82.0,67.0,53.0,51.0,44.0,36.0,333.0,St Mary's College,36,37.5,-,70,-,-,SEYMOUR
Bayside,144.99678,-37.896734,BRIGHTON,Star of the Sea College,250,207.0,190.0,206.0,218.0,205.0,182.0,1208.0,Star of the Sea College,34,18.8,96,89,12,100,BRIGHTON
Ballarat,143.870347,-37.611456,MOUNT CLEAR,Damascus College,265,230.0,234.0,208.0,199.0,200.0,162.0,1233.0,Damascus College,29,3.7,64,81,28,99,MOUNT CLEAR
Boroondara,145.031105,-37.813858,KEW,Xavier College,404,182.0,157.0,179.0,186.0,249.0,242.0,1195.0,Xavier College,34,14.9,98,99,-,100,KEW
Yarra,144.974409,-37.803711,FITZROY,Academy of Mary Immaculate,467,87.0,79.0,100.0,107.0,119.0,121.0,613.0,Academy of Mary Immaculate,32,11.3,93,100,-,100,FITZROY
