LGA_Name,Total_Enrolments
Alpine,622
Ararat,753
Ballarat,11287
Banyule,12819
Bass Coast,2334
Baw Baw,5706
Bayside,7018
Benalla,874
Boroondara,19233
Brimbank,12867
Buloke,367
Campaspe,3143
Cardinia,9286
Casey,26205
Central Goldfields,1121
Colac Otway,1438
Corangamite,1058
Darebin,10013
East Gippsland,2632
Frankston,10138
Gannawarra,498
Glen Eira,10484
Glenelg,1014
Golden Plains,0
Greater Bendigo,9057
Greater Dandenong,12971
Greater Geelong,20183
Greater Shepparton,4959
Hepburn,425
Hindmarsh,334
Hobsons Bay,7079
Horsham,1501
Hume,19749
Indigo,605
Kingston,10322
Knox,6825
Latrobe,4803
Loddon,624
Macedon Ranges,3717
Manningham,7970
Mansfield,562
Maribyrnong,4102
Maroondah,9343
Melbourne,7933
Melton,13647
Merri-bek,6577
Mildura,4452
Mitchell,4046
Moira,2345
Monash,16440
Moonee Valley,11334
Moorabool,3116
Mornington Peninsula,11488
Mount Alexander,731
Moyne,209
Murrindindi,613
Nillumbik,4037
Northern Grampians,508
Port Phillip,5467
Pyrenees,215
South Gippsland,2225
Southern Grampians,1387
Stonnington,7978
Strathbogie,276
Surf Coast,988
Swan Hill,1504
Towong,466
Wangaratta,2291
Warrnambool,3450
Wellington,3097
West Wimmera,157
Whitehorse,10228
Whittlesea,14255
Wodonga,4122
Wyndham,24756
Yarra,5034
Yarra Ranges,11049
Yarriambiack,368
