Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,Address_Line_1,Address_Line_2,Address_Town,Address_State,Address_Postcode,Postal_Address_Line_1,Postal_Address_Line_2,Postal_Town,Postal_State,Postal_Postcode,Full_Phone_No,Region,Area,LGA_ID,LGA_Name,LGA_TYPE,X,Y,Total_Enrolments,Year 7 Total,Year 8 Total,Year 9 Total,Year 10 Total,Year 11 Total,Year 12 Total,Median_VCE_Study_Score,Pct_Study_Scores_40plus,Pct_VCE_VTAC_Applications,X,Y,LGA_Name
Catholic,2,20,Parade College,Secondary,O,1436 Plenty Road,,BUNDOORA,VIC,3083,1436 Plenty Road,,BUNDOORA,VIC,3083,03 9468 3300,NORTH-WESTERN VICTORIA,North Eastern Melbourne,66,Banyule,Metro,145.066978,-37.690178,1999,368,362,332,340,311,286,30,4.8,73,145.066978,-37.690178,Banyule
Catholic,2,25,Simonds Catholic College,Secondary,O,273 Victoria Street,,WEST MELBOURNE,VIC,3003,273 Victoria Street,,WEST MELBOURNE,VIC,3003,03 9321 9200,SOUTH-WESTERN VICTORIA,Western Melbourne,460,Melbourne,Metro,144.952883,-37.805971,372,66,49,64,58,73,62,30,6.5,83,144.952883,-37.805971,Melbourne
Catholic,2,26,St Mary’s College Melbourne,Secondary,O,11 Westbury Street,,ST KILDA EAST,VIC,3183,PO Box 258,,ST KILDA,VIC,3182,03 9529 6611,SOUTH-EASTERN VICTORIA,Bayside Peninsula,590,Port Phillip,Metro,144.997001,-37.859365,432,69,49,65,84,88,77,,,,144.997001,-37.859365,Port Phillip
Catholic,2,28,St Patrick's College Ballarat,Secondary,O,1431 Sturt Street,,BALLARAT,VIC,3350,Locked Bag 31,,BALLARAT,VIC,3350,03 5331 1688,SOUTH-WESTERN VICTORIA,Central Highlands,57,Ballarat,Non Metro,143.831558,-37.559711,1294,216,217,217,251,209,184,,,,143.831558,-37.559711,Ballarat
Catholic,2,33,Emmanuel College Warrnambool,Secondary,O,140 Botanic Road,,WARRNAMBOOL,VIC,3280,PO Box 486,,WARRNAMBOOL,VIC,3280,03 5560 0888,SOUTH-WESTERN VICTORIA,Wimmera South West,673,Warrnambool,Non Metro,142.477358,-38.370986,1355,259,245,228,224,206,193,,,,142.477358,-38.370986,Warrnambool
Catholic,2,35,Loreto College,Secondary,O,1600 Sturt Street,,BALLARAT,VIC,3350,1600 Sturt Street,,BALLARAT,VIC,3350,03 5329 6100,SOUTH-WESTERN VICTORIA,Central Highlands,57,Ballarat,Non Metro,143.8234695,-37.55686069,958,183,158,158,161,162,136,31,6.8,72,143.8234695,-37.55686069,Ballarat
Catholic,2,111,Assumption College,Secondary,O,Sutherland Street,,KILMORE,VIC,3764,PO Box 111,,KILMORE,VIC,3764,03 5783 5000,NORTH-EASTERN VICTORIA,Goulburn,485,Mitchell,Non Metro,144.947629,-37.301013,1473,269,267,250,259,236,192,28,2.2,57,144.947629,-37.301013,Mitchell
Catholic,2,130,Catherine McAuley College,Secondary,O,164 Barkly Street,,BENDIGO,VIC,3550,164 Barkly Street,,BENDIGO,VIC,3550,03 5445 9100,NORTH-WESTERN VICTORIA,Loddon Campaspe,262,Greater Bendigo,Non Metro,144.273362,-36.753444,1590,343,307,300,278,185,177,28,5.3,72,144.273362,-36.753444,Greater Bendigo
Catholic,2,149,Sacre Coeur,Pri/Sec,O,172 Burke Road,,GLEN IRIS,VIC,3146,172 Burke Road,,GLEN IRIS,VIC,3146,03 9835 2700,SOUTH-EASTERN VICTORIA,Bayside Peninsula,635,Stonnington,Metro,145.051572,-37.861753,487,74,74,100,83,70,86,35,24.6,99,145.051572,-37.861753,Stonnington
Catholic,2,161,St Mary's College,Pri/Sec,O,90 High Street,,SEYMOUR,VIC,3660,PO Box 269,,SEYMOUR,VIC,3660,03 5792 2611,NORTH-EASTERN VICTORIA,Goulburn,485,Mitchell,Non Metro,145.140924,-37.019895,333,82,67,53,51,44,36,36,37.5,-,145.140924,-37.019895,Mitchell
